"ID","Handle","Command","Title","Tags","Tags Command","Status","URL","Total Inventory Qty","Variant ID","Variant SKU","Variant Inventory Qty"
"10547105366181","strontium-2-lucite-cube","MERGE","Strontium 50mm Lucite Cube","class:reactive, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/strontium-2-lucite-cube","4","47746564587685","Sr2x2","4"
"10547105431717","sodium-cube","MERGE","Sodium 50mm Lucite Cube","class:reactive, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/sodium-cube","8","47746564653221","Na2x2","8"
"10547105628325","cerium-2-lucite-cube","MERGE","Cerium 50mm Lucite Cube","class:exotic, form:lucite, lucite, purity:4N, size:large","REPLACE","Active","https://luciteria.com/products/cerium-2-lucite-cube","7","47746564849829","Ce2x2","7"
"10547105759397","chromium-acrylic-cube","MERGE","Chromium 50mm Lucite Cube","class:mid, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/chromium-acrylic-cube","4","47746564980901","Cr2x2","4"
"10547106021541","antimony-2-lucite-cube","MERGE","Antimony 50mm Lucite Cube","class:mid, form:lucite, lucite, purity:5N, size:large","REPLACE","Active","https://luciteria.com/products/antimony-2-lucite-cube","5","47746565243045","Sb2x2","5"
"10547106185381","chlorine-liquefied-2-cube","MERGE","Chlorine (liquid) 50mm Lucite Cube","class:exotic, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/chlorine-liquefied-2-cube","4","47746565406885","Cl2x2_liq","4"
"10547106316453","niobium-cube","MERGE","Niobium Metal Cube 99.95%","class:mid, cubes, form:cube, purity:3N, size:micro","REPLACE","Archived","https://luciteria.com/products/niobium-cube","0","47809816363173","Nb10.1mm","0"
"10547106939045","uranium-cube","MERGE","Uranium Metal Cube","class:exotic, cubes, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/uranium-cube","0","47810166620325","U10.1mm_empty","0"
"10547107430565","lutetium-50mm-cube","MERGE","Lutetium 50mm Lucite Cube","class:exotic, form:lucite, purity:3N, size:large","REPLACE","Active","https://luciteria.com/products/lutetium-50mm-cube","0","47746566717605","Lu2x2","0"
"10547108151461","sulfur-50mm-lucite-cube","MERGE","Sulfur 50mm Lucite Cube","class:common, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/sulfur-50mm-lucite-cube","7","47746567602341","S2x2","7"
"10547108675749","lead-cube","MERGE","Lead Metal Cube 99.95%","class:common, cubes, form:cube, purity:3N, size:micro","REPLACE","Archived","https://luciteria.com/products/lead-cube","26","47809816330405","Pb10.1mm","26"
"10547109331109","tennessine-50mm-cube","MERGE","Tennessine 50mm Lucite Cube","form:lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/tennessine-50mm-cube","2","47746568945829","Ts2x2_film","2"
"10547109920933","dubnium-50mm-cube","MERGE","Dubnium 50mm Lucite Cube","form:lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/dubnium-50mm-cube","1","47746569699493","Db2x2_film","1"
"10547110052005","protactinium-50mm-lucite-cube","MERGE","Protactinium 50mm Lucite Cube","class:exotic, form:lucite, lucite, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/protactinium-50mm-lucite-cube","2","47746569830565","Pa2x2","2"
"10547110510757","magnesium-50mm-cube","MERGE","Magnesium 50mm Lucite Cube","class:common, form:lucite, purity:4N, size:large","REPLACE","Draft","https://luciteria.com/products/magnesium-50mm-cube","1","47746570289317","Mg2x2cr","1"
"10547111690405","phosphorus-black-50mm-lucite-cube","MERGE","Phosphorus (Black) 50mm Lucite Cube","class:common, form:lucite, purity:none, size:large","REPLACE","Draft","https://luciteria.com/products/phosphorus-black-50mm-lucite-cube","0","47746571010213","P50mm_blk","0"
"10547111854245","aluminum-50mm-lucite-cube","MERGE","Aluminum 50mm Lucite Cube","class:common, form:lucite, lucite, purity:4N, size:large","REPLACE","Active","https://luciteria.com/products/aluminum-50mm-lucite-cube","4","47746571108517","Al2x2","4"
"10547112607909","large-acrylic-elements-display-case","MERGE","Large Acrylic Elements Display Case","purity:none, size:display","REPLACE","Archived","https://luciteria.com/products/large-acrylic-elements-display-case","4","47746571698341","case50mm","4"
"10547113099429","thorium","MERGE","Thorium","class:exotic, purity:none, size:micro","REPLACE","Archived","https://luciteria.com/products/thorium","8","47746572386469","31mm_ThO2","8"
"10547113164965","protactinium","MERGE","Protactinium 50mm Lucite Cube","class:exotic, form:lucite, lucite, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/protactinium","4","47746572419237","Pa2x2_film","4"
"10547113754789","chlorine","MERGE","Chlorine","class:exotic, purity:none, size:micro","REPLACE","Archived","https://luciteria.com/products/chlorine","4","47806031626405","Cl31mm_lq","4"
"10547114049701","greek-key-end-table","MERGE","Greek Key End Table","purity:none, size:display","REPLACE","Archived","https://luciteria.com/products/greek-key-end-table","10","47746572943525","GreekKey","10"
"10547114115237","round-occasional-table","MERGE","Round Occasional Table","class:common, purity:none, size:display","REPLACE","Archived","https://luciteria.com/products/round-occasional-table","3","47746573009061","SQ2577807","3"
"10547114180773","10mm-ampules-cubes-display-case","MERGE","10mm + Ampules Cubes Display Case","form:ampoule, purity:none, size:display","REPLACE","Active","https://luciteria.com/products/10mm-ampules-cubes-display-case","43","47746573041829","case10mm+Amp","43"
"10547114279077","glass-ampule-display-case","MERGE","Glass Ampule Display Case","form:ampoule, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/glass-ampule-display-case","36","47746573074597","case_amp","36"
"10547114377381","classic-10mm-display-case","MERGE","""Classic"" 10mm Display Case","purity:none, size:large","REPLACE","Archived","https://luciteria.com/products/classic-10mm-display-case","0","47746573140133","10mm_small_case","0"
"10547114442917","periodic-table-tray","MERGE","Periodic Table Tray","purity:none, size:large","REPLACE","Archived","https://luciteria.com/products/periodic-table-tray","0","47746573205669","Tray","0"
"10547114541221","254mm-cubes-display-case","MERGE","25.4mm Cubes Display Case","displays, form:cube, purity:none, size:display","REPLACE","Active","https://luciteria.com/products/254mm-cubes-display-case","0","47746573271205","case25.4mm","0"
"10547114737829","wood-glass-protector-case","MERGE","Wood & Glass Protector Case","purity:none, size:large","REPLACE","Archived","https://luciteria.com/products/wood-glass-protector-case","0","47746573303973","Wooden_case","0"
"10547114836133","31mm-rounds-display-case","MERGE","31mm Rounds Display Case","purity:none, size:display","REPLACE","Archived","https://luciteria.com/products/31mm-rounds-display-case","2","47746573369509","31mm_case","2"
"10547114934437","large-display-case","MERGE","50mm Cubes Display Case","displays, form:cube, purity:none, size:display","REPLACE","Active","https://luciteria.com/products/large-display-case","4","47746573435045","case50mm","4"
"10547114967205","storage-case","MERGE","Storage Case","purity:none, size:large","REPLACE","Archived","https://luciteria.com/products/storage-case","30","47746573500581","Storage_case","30"
"10547115131045","acrylic-boxes","MERGE","Acrylic Boxes","displays, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/acrylic-boxes","532","47746573598885","box10.1mm","0"
"10547115131045","acrylic-boxes","MERGE","Acrylic Boxes","displays, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/acrylic-boxes","532","47806030872741","box25.7mm","446"
"10547115131045","acrylic-boxes","MERGE","Acrylic Boxes","displays, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/acrylic-boxes","532","47806030905509","box51mm","86"
"10547115262117","sbwf4t","MERGE","Argon gas","class:exotic, purity:3N, size:large","REPLACE","Draft","https://luciteria.com/products/sbwf4t","0","47746573664421","Argon_100","0"
"10547115393189","w5dh3","MERGE","A. Lungu","class:precious, purity:none, size:micro","REPLACE","Archived","https://luciteria.com/products/w5dh3","0","47746573762725","Re1g","0"
"10547115425957","steel-ring","MERGE","Steel Ring","purity:none, size:micro","REPLACE","Archived","https://luciteria.com/products/steel-ring","47","47746573795493","Steel_ring","47"
