SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Sr2x2,Strontium 50mm Lucite Cube,Sr,Strontium,38.0,Lucite 50mm,110.0,4.0,Active,Yes,"class:reactive, form:lucite, lucite, purity:none, size:large",
Na2x2,Sodium 50mm Lucite Cube,Na,Sodium,11.0,Lucite 50mm,100.0,8.0,Active,Yes,"class:reactive, form:lucite, lucite, purity:none, size:large",
Ce2x2,Cerium 50mm Lucite Cube,Ce,Cerium,58.0,Lucite 50mm,105.0,7.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:4N, size:large",
Cr2x2,Chromium 50mm Lucite Cube,Cr,Chromium,24.0,Lucite 50mm,65.0,4.0,Active,Yes,"class:mid, form:lucite, lucite, purity:none, size:large",
Sb2x2,Antimony 50mm Lucite Cube,Sb,Antimony,51.0,Lucite 50mm,80.0,5.0,Active,Yes,"class:mid, form:lucite, lucite, purity:5N, size:large",
Cl2x2_liq,Chlorine (liquid) 50mm Lucite Cube,Cl,Chlorine,17.0,Lucite 50mm,200.0,4.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:large",
Nb10.1mm,Niobium Metal Cube 99.95%,Nb,Niobium,41.0,10mm Cube,4.4,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
U10.1mm_empty,Uranium Metal Cube,U,Uranium,92.0,10mm Cube,1.0,0.0,Active,No,"class:exotic, cubes, form:cube, purity:none, size:micro",Out of stock
Lu2x2,Lutetium 50mm Lucite Cube,Lu,Lutetium,71.0,Lucite 50mm,195.0,0.0,Active,No,"class:exotic, form:lucite, purity:3N, size:large",Out of stock
S2x2,Sulfur 50mm Lucite Cube,S,Sulfur,16.0,Lucite 50mm,70.0,7.0,Active,Yes,"class:common, form:lucite, lucite, purity:none, size:large",
Pb10.1mm,Lead Metal Cube 99.95%,Pb,Lead,82.0,10mm Cube,1.25,26.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Ts2x2_film,Tennessine 50mm Lucite Cube,Ts,Tennessine,117.0,Lucite 50mm,50.0,2.0,Active,Yes,"form:lucite, purity:none, size:large",
Db2x2_film,Dubnium 50mm Lucite Cube,Db,Dubnium,105.0,Lucite 50mm,55.0,1.0,Active,Yes,"form:lucite, purity:none, size:large",
Pa2x2,Protactinium 50mm Lucite Cube,Pa,Protactinium,91.0,Lucite 50mm,2275.0,2.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:large",
Mg2x2cr,Magnesium 50mm Lucite Cube,Mg,Magnesium,12.0,Lucite 50mm,125.0,1.0,Draft,No,"class:common, form:lucite, purity:4N, size:large",Draft
P50mm_blk,Phosphorus (Black) 50mm Lucite Cube,P,Phosphorus,15.0,Lucite 50mm,200.0,0.0,Draft,No,"class:common, form:lucite, purity:none, size:large",Out of stock; Draft
Al2x2,Aluminum 50mm Lucite Cube,Al,Aluminum,13.0,Lucite 50mm,65.0,4.0,Active,Yes,"class:common, form:lucite, lucite, purity:4N, size:large",
case50mm,Large Acrylic Elements Display Case,,,,Lucite,990.0,4.0,Archived,No,"purity:none, size:display",Archived
31mm_ThO2,Thorium,Th,Thorium,90.0,31mm Round,55.0,8.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
Pa2x2_film,Protactinium 50mm Lucite Cube,Pa,Protactinium,91.0,Lucite 50mm,55.0,4.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:micro",
Cl31mm_lq,Chlorine,Cl,Chlorine,17.0,31mm Round,66.0,4.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
GreekKey,Greek Key End Table,,,,Other,500.0,10.0,Archived,No,"purity:none, size:display",Archived
SQ2577807,Round Occasional Table,S,Sulfur,16.0,Other (Coin/Round),500.0,3.0,Archived,No,"class:common, purity:none, size:display",Archived
case10mm+Amp,10mm + Ampules Cubes Display Case,,,,Ampoule,20.0,43.0,Active,No,"form:ampoule, purity:none, size:display",
case_amp,Glass Ampule Display Case,,,,Ampoule,25.0,36.0,Active,No,"form:ampoule, purity:none, size:large",
10mm_small_case,"""Classic"" 10mm Display Case",,,,Other,27.95,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
Tray,Periodic Table Tray,,,,Other,10.0,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
case25.4mm,25.4mm Cubes Display Case,,,,25.4mm Cube,149.95,0.0,Active,No,"displays, form:cube, purity:none, size:display",Out of stock
Wooden_case,Wood & Glass Protector Case,,,,Other,19.95,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
31mm_case,31mm Rounds Display Case,,,,31mm Round,25.0,2.0,Archived,No,"purity:none, size:display",Archived
case50mm,50mm Cubes Display Case,,,,50mm Cube,990.0,4.0,Active,No,"displays, form:cube, purity:none, size:display",
Storage_case,Storage Case,,,,Other,19.95,30.0,Archived,No,"purity:none, size:large",Archived
box10.1mm,Acrylic Boxes,,,,Lucite 10mm,3.0,0.0,Active,No,"displays, purity:none, size:micro",Out of stock; Could not map to element
box25.7mm,Acrylic Boxes,,,,Lucite,5.95,446.0,Active,No,"displays, purity:none, size:micro",Could not map to element
box51mm,Acrylic Boxes,,,,Lucite,6.5,86.0,Active,No,"displays, purity:none, size:micro",Could not map to element
Argon_100,Argon gas,Ar,Argon,18.0,Other,500.0,0.0,Draft,No,"class:exotic, purity:3N, size:large",Out of stock; Draft
Re1g,A. Lungu,Re,Rhenium,75.0,Other (Bulk/Bottle),81.16,0.0,Archived,No,"class:precious, purity:none, size:micro",Precious metal - exclude from normal assignment; Out of stock; Archived
Steel_ring,Steel Ring,,,,Other,5.0,47.0,Archived,No,"purity:none, size:micro",Archived; Could not map to element
